country_name,country_code,region,income_group,year,cpi,int_rate,gdp_ growth_rate,gdp,exchange_rate,unemployment_rate
Aruba,ABW,Latin America & Caribbean,High income,2000,0,10.91745008,7.622920649,2735726915.79,1.79,0
Africa Eastern and Southern,AFE,Combined,Not classified,2000,0,0,3.212167483,486140997187.19,0,7.788316903
Afghanistan,AFG,Middle East & North Africa,Low income,2000,0,0,0,6206547590.07,47.35757473,7.935
Africa Western and Central,AFW,Combined,Not classified,2000,0,0,3.842478629,325661666557.35,0,4.55111906
Angola,AGO,Sub-Saharan Africa,Lower middle income,2000,0,-60.78132703,3.054624234,31304495193.78,10.04054417,16.682
Albania,ALB,Europe & Central Asia,Upper middle income,2000,0,15.27850425,7.462858718,6153077235.62,143.7094167,19.023
Andorra,AND,Europe & Central Asia,High income,2000,0,0,3.528362361,2240766094.42,0,0
Arab World,ARB,Combined,Not classified,2000,0,0,6.346471293,1408404232222.38,0,12.62748706
United Arab Emirates,ARE,Middle East & North Africa,High income,2000,0,0,10.85270422,200410321466.33,3.6725,2.25
Argentina,ARG,Latin America & Caribbean,Upper middle income,2000,0,0,-0.788998939,395646066535.88,0.9995,15
Armenia,ARM,Europe & Central Asia,Upper middle income,2000,0,33.39846306,5.900000003,3959424772.66,539.5258333,11.095
American Samoa,ASM,East Asia & Pacific,High income,2000,0,0,0,0.00,1,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2000,0,10.47519036,6.203552126,1195677311.61,2.7,0
Australia,AUS,East Asia & Pacific,High income,2000,4.457435148,5.037408907,3.921502931,872651653770.26,1.724826667,6.288
Austria,AUT,Europe & Central Asia,High income,2000,2.344862854,0,3.18952293,309014800203.27,1.082705081,4.687
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2000,0,6.367573022,11.09999914,12110978461.86,0.89483075,11.78
Burundi,BDI,Sub-Saharan Africa,Low income,2000,24.43202421,-16.67919754,-0.856864058,1955416620.30,720.6733333,3.129
Belgium,BEL,Europe & Central Asia,High income,2000,2.544517762,0,3.716705107,367797580320.05,1.082705081,6.586
Benin,BEN,Sub-Saharan Africa,Lower middle income,2000,0,0,5.857714205,6219354272.66,710.207977,0.864
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2000,0,0,1.888473889,5107828181.20,710.207977,2.679
Bangladesh,BGD,South Asia,Lower middle income,2000,0,8.998203238,5.293294719,83492876905.76,52.14166667,3.27
Bulgaria,BGR,Europe & Central Asia,High income,2000,10.31626213,3.690178361,4.58722551,30376118719.93,2.123275,16.218
Bahrain,BHR,Middle East & North Africa,High income,2000,0,-2.378907328,5.300069403,16199663949.47,0.376,1.083
"Bahamas, The",BHS,Latin America & Caribbean,High income,2000,0,5.030872342,4.148419308,10500295805.87,1,7.12
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2000,0,0,5.41431595,10676417585.11,2.122859512,25.187
Belarus,BLR,Europe & Central Asia,Upper middle income,2000,0,-41.22954911,5.800003268,26100310428.21,0.087675,12.224
Belize,BLZ,Latin America & Caribbean,Upper middle income,2000,0,14.35340791,12.24045958,1363484410.73,2,10.836
Bermuda,BMU,North America,High income,2000,0,0,9.317156411,6739895068.98,1,0
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2000,0,27.94839572,2.507810809,17334777888.13,6.183541667,2.447
Brazil,BRA,Latin America & Caribbean,Upper middle income,2000,7.044141059,48.5047282,4.387949447,1186419100640.61,1.829423122,10.889
Barbados,BRB,Latin America & Caribbean,High income,2000,0,11.66464363,4.447189628,5071302668.45,2,9.35
Brunei Darussalam,BRN,East Asia & Pacific,High income,2000,0,3.050771344,3.47467625,12244033124.22,1.723963333,5.459
Bhutan,BTN,South Asia,Lower middle income,2000,0,-0.452380923,3.355068382,751822818.96,44.941605,1.66
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2000,0,1.14582524,1.987695834,8491986059.03,5.102241667,15.88
Central African Republic,CAF,Sub-Saharan Africa,Low income,2000,0,0,-2.48943244,1675850364.89,710.207977,5.362
Canada,CAN,North America,High income,2000,2.719439957,2.775239785,5.13853918,1163199675162.51,1.485394095,6.829
Central Europe and the Baltics,CEB,Combined,Not classified,2000,8.911744187,0,3.946045632,808028234183.77,0,12.16612156
Switzerland,CHE,Europe & Central Asia,High income,2000,1.558529197,0,3.958719908,529837998914.44,1.6888425,2.658
Channel Islands,CHI,Europe & Central Asia,High income,2000,0,0,0,0.00,0.660930833,5.551
Chile,CHL,Latin America & Caribbean,High income,2000,3.843272957,9.834873247,4.971621488,131243743563.40,539.5875,10.491
China,CHN,East Asia & Pacific,Upper middle income,2000,0.347811227,3.673088686,8.586432018,2825096197799.54,8.278504167,3.26
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2000,2.530775167,0,-0.265789462,30406072178.23,710.207977,4.816
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2000,0,0,3.832417794,17168567484.57,710.207977,7.536
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2000,0,0,-6.910927317,16528062516.73,21.81833333,3.234
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2000,0,0,7.575980395,6482377234.59,710.207977,19.87
Colombia,COL,Latin America & Caribbean,Upper middle income,2000,9.225348186,-11.13795592,2.924861482,157016818928.93,2087.918333,20.52
Comoros,COM,Sub-Saharan Africa,Lower middle income,2000,0,17.22841609,10.84787862,552666034.13,532.6559828,4.398
Cabo Verde,CPV,Sub-Saharan Africa,Upper middle income,2000,0,0,14.28486885,923550525.29,115.8765516,13.088
Costa Rica,CRI,Latin America & Caribbean,High income,2000,10.96154966,14.1690225,3.86871809,30425018574.49,308.1866667,5.08
Caribbean small states,CSS,Combined,Not classified,2000,0,0,4.69599855,41034423901.02,0,11.75245962
Cuba,CUB,Latin America & Caribbean,Upper middle income,2000,0,0,5.914760174,45683563278.60,0,5.45
Curacao,CUW,Latin America & Caribbean,High income,2000,0,0,0,2881155239.82,0,0
Cayman Islands,CYM,Latin America & Caribbean,High income,2000,0,0,0,0.00,0.83333,0
Cyprus,CYP,Europe & Central Asia,High income,2000,0,0,5.965304455,15534986805.80,0.622409117,4.766
Czechia,CZE,Europe & Central Asia,High income,2000,3.775388292,5.309357654,4.01066962,128638858401.09,38.59841667,8.764
Germany,DEU,Europe & Central Asia,High income,2000,1.440268387,0,2.877245956,2884562511081.11,1.082705081,7.917
Djibouti,DJI,Middle East & North Africa,Lower middle income,2000,0,0,0,0.00,177.721,26.664
Dominica,DMA,Latin America & Caribbean,Upper middle income,2000,0,13.70790617,2.340219321,471328101.67,2.7,0
Denmark,DNK,Europe & Central Asia,High income,2000,2.903282032,0,3.724008995,263066798869.21,8.083144167,4.476
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2000,7.724135662,18.26289782,4.651725503,35393522990.41,16.18145768,6.432
Algeria,DZA,Middle East & North Africa,Upper middle income,2000,0,-10.334378,3.800000002,109811551032.43,75.25979167,29.77
East Asia & Pacific (excluding high income),EAP,Combined,Not classified,2000,0,0,7.728795371,3878849413057.97,0,3.423303793
Early-demographic dividend,EAR,Combined,Not classified,2000,0,0,4.371125418,5469487247839.19,0,7.114722497
East Asia & Pacific,EAS,Combined,Not classified,2000,0,0,5.438450954,10328138088341.60,0,3.554208286
Europe & Central Asia (excluding high income),ECA,Combined,Not classified,2000,0,0,6.779109989,705979031426.89,0,10.74844833
Europe & Central Asia,ECS,Combined,Not classified,2000,3.118136581,0,4.381298626,15966557247349.50,0,9.689920081
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2000,96.09637569,0,1.091801647,50165491738.88,1,4.8
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2000,0,8.919600971,6.37000383,179683172290.03,3.47205,8.98
Euro area,EMU,Combined,Not classified,2000,2.853030393,0,3.901856922,10050398201808.50,1.082705081,9.472242219
